,0
R_EX_estradiol_e,True
R_EX_estradiolglc_e,True
R_EX_estriolglc_e,True
R_EX_gthox_e,True
R_EX_estroneglc_e,True
R_EX_estrones_e,True
R_EX_gthrd_e,True
R_EX_etoh_e,True
R_EX_fe2_e,False
R_EX_oxa_e,True
R_EX_paf_hs_e,True
R_EX_pchol_hs_e,True
R_EX_pe_hs_e,True
R_EX_peplys_e,True
R_EX_perillyl_e,True
R_EX_fe3_e,False
R_EX_fol_e,True
R_EX_for_e,True
R_EX_pglyc_hs_e,True
R_EX_phe__L_e,False
R_EX_gtp_e,True
R_EX_pheacgln_e,True
R_EX_pheme_e,True
R_EX_phllqne_e,True
R_EX_fru_e,True
R_EX_fuc__L_e,True
R_EX_fuc13galacglcgal14acglcgalgluside_hs_e,True
R_EX_fuc14galacglcgalgluside_hs_e,True
R_EX_phyt_e,True
R_EX_gua_e,True
R_EX_pi_e,False
R_EX_pnto__R_e,True
R_EX_fucacgalfucgalacglcgalgluside_hs_e,True
R_EX_fucacngal14acglcgalgluside_hs_e,True
R_EX_fucacngalacglcgalgluside_hs_e,True
R_EX_ppa_e,True
R_EX_prgstrn_e,True
R_EX_fucfuc12gal14acglcgalgluside_hs_e,True
R_EX_pro__D_e,True
R_EX_h_e,False
R_EX_pro__L_e,True
R_EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,True
R_EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,True
R_EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,True
R_EX_prostgd2_e,True
R_EX_h2o_e,False
R_EX_prostge1_e,True
R_EX_prostge2_e,True
R_EX_prostgf2_e,True
R_EX_ps_hs_e,True
R_EX_ptdca_e,True
R_EX_pydam_e,True
R_EX_fucfucgalacglcgalgluside_hs_e,True
R_EX_fucgal14acglcgalgluside_hs_e,True
R_EX_fucgalfucgalacglcgalgluside_hs_e,True
R_EX_fucgalgbside_hs_e,True
R_EX_gal_e,True
R_EX_galacglcgalgbside_hs_e,True
R_EX_galfuc12gal14acglcgalgluside_hs_e,True
R_EX_galfucgalacglcgal14acglcgalgluside_hs_e,True
R_EX_pydx_e,True
R_EX_pydxn_e,True
R_EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,True
R_EX_h2o2_e,True
R_EX_galgalgalthcrm_hs_e,True
R_EX_gam_e,True
R_EX_ha_e,True
R_EX_gbside_hs_e,True
R_EX_gchola_e,True
R_EX_gd1b2_hs_e,True
R_EX_pyr_e,True
R_EX_rbt_e,True
R_EX_retfa_e,True
R_EX_gd1c_hs_e,True
R_EX_ha_pre1_e,True
R_EX_gdchola_e,True
R_EX_gdp_e,True
R_EX_glc__D_e,False
R_EX_gln__L_e,True
R_EX_retinol_e,True
R_EX_retinol_9_cis_e,True
R_EX_retinol_cis_11_e,True
R_EX_retn_e,True
R_EX_retnglc_e,True
R_EX_retpalm_SPACE_deleted_SPACE_10_09_2005_SPACE_SPACE_06_COLON_18_COLON_49_SPACE_PM_e,False
R_EX_glu__L_e,True
R_EX_gluala_e,True
R_EX_gly_e,True
R_EX_glyb_e,True
R_EX_rib__D_e,True
R_EX_hco3_e,False
R_EX_glyc_e,False
R_EX_glyc__S_e,True
R_EX_glygn2_e,True
R_EX_glygn4_e,True
R_EX_ribflv_e,True
R_EX_hcoumarin_e,True
R_EX_glygn5_e,True
R_EX_gmp_e,True
R_EX_hdca_e,False
R_EX_gp1c_hs_e,True
R_EX_gp1calpha_hs_e,True
R_EX_s2l2fn2m2masn_e,True
R_EX_hdcea_e,True
R_EX_s2l2n2m2masn_e,True
R_EX_sarcs_e,True
R_EX_sel_e,False
R_EX_hestratriol_e,True
R_EX_ser__D_e,True
R_EX_thymd_e,True
R_EX_ser__L_e,True
R_EX_hexc_e,True
