,R_PFK,R_PFL,R_PGI,R_PGK,R_PGL,R_ACALD,R_AKGt2r,R_PGM,R_PIt2r,R_ALCD2x,R_ACALDt,R_ACKr,R_PPC,R_ACONTa,R_ACONTb,R_ATPM,R_PPCK,R_ACt2r,R_PPS,R_ADK1,R_AKGDH,R_ATPS4r,R_PTAr,R_PYK,R_BIOMASS_Ecoli_core_w_GAM,R_PYRt2,R_CO2t,R_RPE,R_CS,R_RPI,R_SUCCt2_2,R_CYTBD,R_D_LACt2,R_ENO,R_SUCCt3,R_ETOHt2r,R_SUCDi,R_SUCOAS,R_TALA,R_THD2,R_TKT1,R_TKT2,R_TPI,R_EX_ac_e,R_EX_acald_e,R_EX_akg_e,R_EX_co2_e,R_EX_etoh_e,R_EX_for_e,R_EX_fru_e,R_EX_fum_e,R_EX_glc__D_e,R_EX_gln__L_e,R_EX_glu__L_e,R_EX_h_e,R_EX_h2o_e,R_EX_lac__D_e,R_EX_mal__L_e,R_EX_nh4_e,R_EX_o2_e,R_EX_pi_e,R_EX_pyr_e,R_EX_succ_e,R_FBA,R_FBP,R_FORt2,R_FORt,R_FRD7,R_FRUpts2,R_FUM,R_FUMt2_2,R_G6PDH2r,R_GAPD,R_GLCpts,R_GLNS,R_GLNabc,R_GLUDy,R_GLUN,R_GLUSy,R_GLUt2r,R_GND,R_H2Ot,R_ICDHyr,R_ICL,R_LDH_D,R_MALS,R_MALt2_2,R_MDH,R_ME1,R_ME2,R_NADH16,R_NADTRHD,R_NH4t,R_O2t,R_PDH
minspan__wt_glc__2,0.62031096,0.9544659,0.9691827,0.95699024,0.91011,0.9597537,0.95355666,0.959131,0.9524279,0.96282357,0.63269913,0.945116,0.9926683,0.94980675,0.972897,0.9765164,0.99962246,0.95119643,0.9927612,0.93818754,0.98029196,0.98311675,0.95086235,0.9811894,0.9983059,0.9657215,0.96125406,0.75289243,0.9804995,0.7200174,0.961766,0.9709697,0.9440268,0.9767141,0.96064913,0.94430554,0.9586764,0.970349,0.97763324,0.9714164,0.9805173,0.9839628,0.94092923,0.23075402,0.0,0.23075402,0.0,0.23075402,0.55086035,0.28355455,0.35689533,0.3589986,0.42861125,0.30509305,0.5543335,0.3516649,0.23075402,0.3574587,0.34952015,0.57710546,0.23075402,0.22185674,0.22486138,0.9751287,0.94832623,0.98491156,0.40946063,0.7481107,0.96169287,0.942653,0.9545569,0.97922254,0.99993277,0.9386145,0.9637586,0.95709103,0.97460294,0.93656856,0.9463099,0.89894146,0.9534301,0.9639977,0.988446,0.934068,0.95460033,0.9377151,0.9275725,0.9698963,0.9051168,0.9293219,0.924214,0.95997906,0.6334424,0.9496605,0.9500479
minspan__wt_glc__3,0.62088156,0.9544061,0.9694175,0.957109,0.91018236,0.95952123,0.954238,0.95939076,0.9524624,0.96253663,0.6274679,0.94531655,0.9924251,0.950062,0.9731071,0.976682,0.99993277,0.95137686,0.99280864,0.93866694,0.9803103,0.9834186,0.9508885,0.9812337,0.99831533,0.9657754,0.96116835,0.7475319,0.9806227,0.7090502,0.96189994,0.9709756,0.9441084,0.977028,0.96071553,0.94438523,0.95892215,0.97022027,0.9780068,0.9711516,0.98076904,0.98425895,0.9411089,0.23081699,0.0,0.23081699,0.0,0.23081699,0.5381584,0.28412032,0.3642592,0.36100462,0.42506233,0.29166558,0.5475188,0.3493842,0.23081699,0.36482272,0.3472428,0.5749001,0.23081699,0.22191729,0.22492273,0.97551936,0.9486621,0.9848501,0.39589757,0.731166,0.9617378,0.9429003,0.954847,0.97930586,0.99990904,0.9385938,0.9640453,0.9571228,0.9746474,0.93654734,0.9462083,0.8933558,0.9532612,0.96416193,0.9882174,0.9341034,0.9545603,0.9376724,0.92793435,0.96961725,0.8942574,0.9289249,0.92369705,0.9284741,0.6282074,0.9498326,0.94971794
minspan__wt_glc__4,0.6175919,0.9541983,0.96917,0.9568269,0.9101168,0.95986825,0.9544037,0.9582903,0.95268553,0.9628108,0.64027554,0.9452659,0.9933229,0.95036507,0.97340614,0.9767595,0.9999328,0.95126563,0.99332094,0.93867964,0.9805019,0.9839402,0.9506416,0.98126423,0.99831146,0.9657317,0.9606641,0.7780558,0.9807112,0.73117584,0.9619537,0.9711725,0.94371957,0.9766153,0.9607905,0.94399804,0.95963717,0.9702581,0.97748625,0.9711488,0.9802965,0.98370516,0.9401845,0.23053893,0.0,0.23053893,0.0,0.23053893,0.5435691,0.29089162,0.35798854,0.37318334,0.4329791,0.3048284,0.56320345,0.35489783,0.23053893,0.35855532,0.35274914,0.5801085,0.23053893,0.22164994,0.22465178,0.97435206,0.9480189,0.98445565,0.40180743,0.78875774,0.96165746,0.94231343,0.9543148,0.9791294,0.9997018,0.9386599,0.96386147,0.956898,0.9743541,0.9360905,0.9462217,0.91072106,0.95273495,0.96335,0.9881427,0.9339083,0.95435435,0.93746704,0.92732793,0.9696104,0.92578954,0.9286077,0.9237988,0.96249485,0.641022,0.9489056,0.9491505
minspan__wt_glc_anaero__1,0.6527433,0.962102,0.9778226,0.9646006,0.9160554,0.96586394,0.94890606,0.97068304,0.9568504,0.9681864,0.5715796,0.95583534,0.9899574,0.9492284,0.9691594,0.9796705,0.9985465,0.95336276,0.99368936,0.9433962,0.9758405,0.9853385,0.956396,0.9828659,0.9967906,0.9671013,0.9614473,0.6365001,0.97864944,0.57492715,0.9618337,0.97452307,0.94713014,0.9844416,0.9610889,0.94740844,0.62543243,0.9712436,0.98662186,0.9678801,0.99189746,0.99484855,0.95277214,0.2337168,0.0,0.2337168,0.0,0.2337168,0.6440821,0.2612679,0.304932,0.32592016,0.37400696,0.36277708,0.59125835,0.3244506,0.2337168,0.3054706,0.32231638,0.5529359,0.2337168,0.2247053,0.2277485,0.98563886,0.95365304,0.9908043,0.51986897,0.68159175,0.9430839,0.9437406,0.9570126,0.9777986,0.99993193,0.94415104,0.9624023,0.9590828,0.97209454,0.943136,0.9402669,0.6783864,0.9515288,0.8486842,0.88970953,0.90898186,0.9542357,0.9345749,0.77190316,0.74560535,0.7144685,0.86140966,0.8521659,0.6885031,0.5722923,0.9607506,0.9588145
minspan__wt_glc_anaero__2,0.6472191,0.9616582,0.9768071,0.96424294,0.9161054,0.9672292,0.94948745,0.968943,0.9575653,0.9694384,0.6503432,0.9552462,0.99127895,0.94918185,0.9691807,0.98021483,0.99812835,0.95341253,0.994427,0.9425362,0.9762838,0.985698,0.9553341,0.9831132,0.9974133,0.9671513,0.9613745,0.68254274,0.97925204,0.6103514,0.96224743,0.97550076,0.9468827,0.98385227,0.9610609,0.9471624,0.6614932,0.97005564,0.98563206,0.96906686,0.99120903,0.99400353,0.95098555,0.23317713,0.0,0.23317713,0.0,0.23317713,0.67608684,0.27499261,0.32775235,0.31367403,0.38548183,0.37958723,0.62421995,0.3601736,0.23317713,0.32829565,0.3579704,0.5879276,0.23317713,0.22418642,0.2272226,0.9841579,0.953043,0.9908155,0.5659831,0.7216556,0.9670594,0.94392246,0.956239,0.97717464,0.9999321,0.942664,0.96258897,0.95925516,0.97336346,0.94360685,0.9406805,0.71438473,0.9512612,0.9373407,0.9533166,0.9335255,0.9541396,0.9337412,0.7996736,0.7984372,0.76923984,0.9123261,0.8863687,0.78108895,0.6511002,0.9598065,0.9569341
minspan__wt_trp__1,0.64678454,0.96145195,0.9766241,0.96326727,0.91351646,0.9666229,0.948673,0.9676571,0.95454335,0.96848005,0.43252742,0.95089084,0.98832697,0.9461184,0.9669537,0.97657424,0.9999322,0.9517098,0.991045,0.9383291,0.9728161,0.9816296,0.9521721,0.98296076,0.9966583,0.96803766,0.9564623,0.59103185,0.9776224,0.5413866,0.96186244,0.97448,0.94519377,0.9819564,0.96016467,0.9454728,0.77133197,0.9692532,0.98295075,0.96547115,0.9858102,0.9910071,0.9476866,0.23261352,0.0,0.23261352,0.0,0.23261352,0.6589298,0.39794078,0.3297957,0.3979348,0.4027471,0.358494,0.61562127,0.24899918,0.23261352,0.3303397,0.24699457,0.47674462,0.23261352,0.22364454,0.2266734,0.9816296,0.9517377,0.9894847,0.5422594,0.84355605,0.9706341,0.9417963,0.9555955,0.9773175,0.9979615,0.9424878,0.96135825,0.95596015,0.9692233,0.934549,0.9379863,0.73858654,0.94795364,0.68031704,0.9789674,0.86090016,0.95096856,0.9321359,0.867456,0.8914417,0.6770411,0.8314924,0.82950974,0.62249595,0.4331631,0.9540472,0.954103
minspan__bw_delcra_glc__1,0.64117825,0.959983,0.9739655,0.96265405,0.9137399,0.9662627,0.9491034,0.9657352,0.9541471,0.96896964,0.5638929,0.9491771,0.9903087,0.94653183,0.9675564,0.9767402,0.9995442,0.9520691,0.99099743,0.93930465,0.9760535,0.98340404,0.9524393,0.9826536,0.99749804,0.9675425,0.9608866,0.6739343,0.9790351,0.63646096,0.9617286,0.9741208,0.9457237,0.9793018,0.9606259,0.94600236,0.748855,0.9704366,0.98258996,0.9686432,0.9864513,0.99005795,0.9480863,0.2323496,0.0,0.2323496,0.0,0.2323496,0.6695554,0.30619952,0.2942372,0.36757952,0.4152795,0.37514704,0.6170088,0.32045874,0.2323496,0.29478058,0.31833896,0.5476154,0.2323496,0.2233908,0.22641622,0.9818953,0.9501006,0.989833,0.5579715,0.76477623,0.9675763,0.94150007,0.9554886,0.97838426,0.99993235,0.9433412,0.96318156,0.9572501,0.9713402,0.937579,0.94112587,0.7990788,0.9518781,0.8275237,0.98237103,0.92952186,0.9540774,0.93509495,0.9081549,0.9703709,0.80187535,0.9312455,0.92805094,0.7883585,0.5645995,0.9550627,0.9554747
minspan__bw_delcra_glc__2,0.64091015,0.9598099,0.9739861,0.9626559,0.91379446,0.9662462,0.9491126,0.96566707,0.95425725,0.968933,0.57015854,0.9493036,0.9904212,0.94655514,0.9676155,0.97679627,0.99959797,0.95204216,0.99103814,0.93938047,0.97614545,0.98335195,0.9524382,0.9826514,0.9974804,0.9674722,0.9609264,0.680543,0.9790233,0.6435253,0.9617225,0.97411543,0.9456795,0.97922033,0.960596,0.9459581,0.7499791,0.9704415,0.9825997,0.9686145,0.9864029,0.9899933,0.94803786,0.23232603,0.0,0.23232603,0.0,0.23232603,0.66127986,0.3035334,0.2964682,0.3683184,0.41774303,0.37819976,0.6162595,0.32347322,0.23232603,0.29701152,0.3213457,0.5505909,0.23232603,0.22336814,0.22639324,0.9818613,0.95010567,0.98959327,0.546103,0.7679705,0.9674662,0.9414622,0.955527,0.9784461,0.99993235,0.943343,0.96329474,0.9573998,0.97152424,0.9376789,0.9412254,0.80456233,0.9518212,0.8327356,0.9823987,0.9294534,0.954092,0.9349861,0.9091135,0.97026837,0.79999286,0.9324088,0.9280483,0.78866065,0.570869,0.95506525,0.9553797
minspan__bw_delcra_trp__1,0.6493365,0.9609183,0.97676295,0.9661812,0.91596097,0.9680114,0.94949836,0.96897334,0.9558071,0.9701928,0.4752112,0.95301497,0.98963785,0.94719523,0.96711326,0.9778586,0.99983835,0.9531407,0.9916775,0.94184846,0.9720269,0.9840496,0.9538113,0.98350275,0.99707216,0.9684684,0.95686686,0.5975316,0.9786969,0.5596095,0.96227545,0.9748869,0.94735086,0.98467827,0.9614033,0.9476283,0.70062846,0.9699693,0.9851313,0.96654844,0.9885781,0.9932103,0.9515241,0.23297934,0.0,0.23297934,0.0,0.23297934,0.67738944,0.3722221,0.3080333,0.37290066,0.47483,0.3551261,0.61019295,0.27427837,0.23297934,0.30858612,0.2722227,0.5022682,0.23297934,0.22399627,0.22702987,0.9848439,0.9542244,0.9922364,0.5682752,0.7766005,0.96929264,0.9435349,0.9576432,0.97858113,0.99993217,0.9413375,0.9652751,0.9582819,0.9698854,0.9362463,0.93691087,0.67399454,0.9474966,0.6811555,0.89879113,0.76103127,0.94945043,0.9305004,0.8151473,0.7979376,0.6330448,0.7880783,0.78952324,0.57619053,0.4758698,0.9562142,0.9549569
minspan__bw_delmntr__1,0.6371185,0.9610964,0.9740921,0.9621338,0.91203916,0.9664843,0.94992316,0.9645784,0.9551918,0.9688016,0.54445744,0.9499967,0.9906751,0.947264,0.968422,0.97700363,0.99980724,0.9522942,0.9921994,0.9383127,0.97629815,0.9828983,0.95276916,0.9834747,0.99789137,0.96870023,0.95906925,0.66225326,0.97946405,0.5938704,0.9629566,0.9750003,0.94544154,0.97909445,0.96101093,0.94571984,0.836434,0.97073936,0.9814396,0.9682133,0.98454785,0.9887115,0.94479764,0.23200051,0.0,0.23200051,0.0,0.23200051,0.6707872,0.35078812,0.3442853,0.40115708,0.42671716,0.39173475,0.6495199,0.31085107,0.23200051,0.34483582,0.30875435,0.5377181,0.23200051,0.22305517,0.22607604,0.9786651,0.95020145,0.98955613,0.5604044,0.8109177,0.96918917,0.94121635,0.9555555,0.9778304,0.9999324,0.94413984,0.9630957,0.9572786,0.97133756,0.9367586,0.94042736,0.8261591,0.9498258,0.8288163,0.98270756,0.92988414,0.9535562,0.93472743,0.9290295,0.96888906,0.8277789,0.9317384,0.92719316,0.8032502,0.545153,0.9533316,0.95443463
minspan__bw_delnac_ade__1,0.5631839,0.953509,0.9646029,0.9518335,0.90546423,0.95817006,0.95590335,0.95443213,0.9482979,0.9606528,0.97370505,0.9410892,0.78067565,0.95236975,0.97648835,0.9753786,0.99993324,0.947689,0.9914733,0.9350257,0.98134583,0.9814303,0.9501895,0.9788238,0.9979277,0.9628704,0.9679027,0.7612004,0.9837304,0.770175,0.9591561,0.97031283,0.93959445,0.9777945,0.9580345,0.9398734,0.9591679,0.9701557,0.97378755,0.96570086,0.9732376,0.97665924,0.93479395,0.22929275,0.0,0.22929275,0.0,0.22929275,0.595786,0.26434812,0.3460693,0.3766836,0.41344976,0.42797515,0.6269109,0.54144204,0.22929275,0.34664482,0.5388237,0.7640682,0.22929275,0.2204518,0.22343741,0.9698689,0.94810736,0.9822533,0.4631955,0.84025425,0.9571487,0.9439629,0.9508867,0.9769263,0.9962601,0.93541855,0.96488965,0.9564769,0.97739774,0.9407003,0.94168633,0.96883184,0.95129335,0.97206295,0.98946,0.936821,0.9519985,0.9393686,0.92174566,0.96391934,0.93391,0.9238532,0.9190252,0.91255116,0.94795614,0.95251507,0.94584066
minspan__bw_delnac_glc__1,0.5125389,0.95285213,0.96400195,0.953272,0.90460354,0.9566269,0.9530287,0.9519476,0.94935,0.959046,0.64053136,0.94522595,0.7955087,0.9488399,0.97192043,0.9737686,0.9999333,0.9472546,0.99299973,0.9358164,0.98119855,0.98056287,0.94933826,0.9776062,0.9963017,0.96239114,0.96018785,0.81667626,0.9806335,0.8032408,0.95641893,0.9661228,0.9385298,0.97091585,0.9557323,0.9388064,0.9549593,0.96668196,0.9723442,0.9691854,0.9739334,0.9772589,0.93418014,0.22902958,0.0,0.22902958,0.0,0.22902958,0.5604598,0.2649472,0.32032946,0.37930012,0.4394362,0.33850506,0.5562259,0.3545029,0.22902958,0.3208886,0.35236043,0.5782254,0.22902958,0.22019878,0.22318096,0.9680318,0.9426833,0.9792974,0.42159608,0.7387727,0.9586085,0.93887705,0.94861233,0.97600126,0.99418867,0.93744284,0.9598975,0.95266765,0.9735057,0.9298834,0.94320905,0.9522145,0.95367223,0.95643467,0.98911893,0.9253219,0.9519692,0.9350316,0.9227772,0.96960336,0.9582416,0.92700917,0.92202574,0.9691913,0.641275,0.9427637,0.94875747
cra_crp__wt_ac__1,0.63303494,0.95628816,0.96323395,0.95129234,0.90610814,0.95237833,0.9477174,0.8172735,0.9498398,0.95595324,0.412177,0.94472307,0.9858528,0.9557789,0.97999895,0.9747019,0.99993265,0.9496674,0.9889185,0.9342103,0.97837394,0.976747,0.95371,0.97454536,0.9924003,0.9626315,0.9541024,0.60893977,0.98427343,0.5019688,0.9630021,0.96452004,0.9413503,0.9698686,0.9606102,0.9402009,0.9677997,0.97499716,0.96906006,0.96163076,0.9749734,0.9769412,0.8908175,0.23133111,0.0,0.23133111,0.0,0.23133111,0.39772266,0.15355423,0.42415032,0.15353443,0.43677557,0.22727461,0.5415786,0.2361446,0.23133111,0.42468536,0.23422436,0.46273753,0.23133111,0.22241159,0.22542374,0.96628374,0.94613206,0.98002666,0.2812456,0.95168275,0.7595532,0.94866467,0.9530164,0.9714678,0.98925334,0.93288654,0.96254826,0.95826787,0.96971405,0.9355975,0.94254327,0.9762575,0.94661164,0.9608242,0.9900837,0.9525725,0.9585096,0.9467424,0.9326943,0.9706256,0.81662154,0.9277223,0.8447237,0.7251156,0.41279927,0.94850016,0.94903916
cra_crp__wt_ac__2,0.6347931,0.95651555,0.9552181,0.9517046,0.9067263,0.9525458,0.94784003,0.79090196,0.95026636,0.95627546,0.4041185,0.9453126,0.98598,0.95621395,0.98039144,0.9749695,0.9999325,0.9502207,0.9891403,0.9348675,0.97862977,0.97720134,0.9541309,0.97470367,0.9925565,0.9631417,0.9543888,0.6024699,0.98387706,0.48588574,0.96359396,0.96508783,0.9421305,0.97047603,0.9613859,0.94101554,0.9685953,0.975402,0.9692857,0.9620287,0.97515005,0.9773779,0.872328,0.2315872,0.0,0.2315872,0.0,0.2315872,0.39084047,0.15916598,0.4163372,0.15914813,0.43218237,0.22752622,0.5319671,0.23079762,0.2315872,0.41687083,0.22888318,0.45766518,0.2315872,0.22265778,0.22567327,0.9465307,0.9470088,0.9808874,0.2773333,0.94218206,0.757442,0.9491236,0.9538314,0.97217226,0.9902215,0.9335681,0.9634531,0.9591382,0.97058517,0.9363158,0.9431125,0.9771855,0.9469969,0.9504489,0.9903643,0.95351195,0.95919377,0.9473064,0.9334669,0.9713648,0.8061143,0.9282791,0.84240526,0.7123427,0.40473747,0.94941527,0.9498636
cra_crp__wt_fru__1,0.6304259,0.955483,0.9672005,0.9587955,0.9106587,0.96225065,0.95036066,0.9410636,0.9529932,0.9650596,0.62380093,0.9439181,0.99045515,0.95155996,0.9734607,0.9760873,0.9999326,0.9509336,0.98850054,0.93552893,0.980607,0.9797724,0.954698,0.9797347,0.9952741,0.96494067,0.9592613,0.7166846,0.98498785,0.5806141,0.96106523,0.9686793,0.9438785,0.97213846,0.95951504,0.94334525,0.9382824,0.9716449,0.97748876,0.9663798,0.9844289,0.9856143,0.9395828,0.23140632,0.0,0.23140632,0.0,0.23140632,0.3964128,0.19092137,0.37689486,0.19090353,0.42461726,0.29016232,0.48898324,0.34794304,0.23140632,0.37744197,0.34580213,0.57404864,0.23140632,0.22248389,0.22549702,0.97555995,0.9487471,0.9825734,0.28050247,0.73729676,0.8460093,0.9458786,0.9550707,0.9748285,0.999211,0.9351424,0.9635332,0.9573226,0.9712008,0.9365122,0.94133717,0.90230525,0.9488303,0.96633226,0.98511076,0.9372179,0.9557407,0.94012797,0.9316,0.97114134,0.84176314,0.92880887,0.8704533,0.7620322,0.6245403,0.9521745,0.95087016
cra_crp__wt_fru__2,0.6323598,0.9556404,0.96787226,0.95851636,0.9105291,0.962152,0.95020777,0.9550533,0.9527228,0.9648753,0.59707046,0.94406503,0.9897952,0.95115584,0.9731363,0.9758576,0.9999326,0.95080477,0.9882898,0.93603414,0.97993356,0.97989386,0.95468044,0.97964,0.9949541,0.9647483,0.95882183,0.686464,0.98480684,0.5720752,0.96067435,0.96806467,0.9435553,0.97245204,0.95938313,0.9431269,0.9454515,0.97171813,0.97858083,0.9656528,0.9851996,0.9864313,0.94073886,0.23153667,0.0,0.23153667,0.0,0.23153667,0.3920206,0.2015927,0.36898696,0.20157485,0.42629445,0.26896018,0.471975,0.33589727,0.23153667,0.3695304,0.33377695,0.56219566,0.23153667,0.2226092,0.22562404,0.97621065,0.94855756,0.98243266,0.27799475,0.7279159,0.8540388,0.945622,0.95488274,0.9746576,0.9988397,0.935445,0.96290374,0.9570784,0.97028214,0.9363594,0.94108194,0.8840819,0.94843656,0.9662141,0.98496354,0.9372103,0.95548964,0.93984234,0.9316904,0.97072643,0.82505476,0.9285149,0.8499509,0.72888184,0.5977944,0.95228046,0.951015
cra_crp__delcra_ac__1,0.63715863,0.96122354,0.9660989,0.9607227,0.9121497,0.9725921,0.95335495,0.96515083,0.95424336,0.9723039,0.346017,0.9444429,0.9849346,0.9484219,0.9743531,0.9752196,0.9999324,0.950964,0.98676115,0.9354553,0.9801685,0.9791827,0.9556167,0.97973126,0.9938586,0.96494615,0.9364968,0.56043845,0.9841237,0.5168621,0.9650475,0.9663275,0.94446474,0.97285247,0.96358466,0.9434432,0.96835077,0.978501,0.97754306,0.9646818,0.98360497,0.985199,0.9426263,0.23201296,0.0,0.23201296,0.0,0.23201296,0.39905393,0.18011488,0.3825297,0.18009698,0.42876932,0.2840104,0.49008825,0.18804309,0.23201296,0.38306236,0.18617482,0.41547084,0.23201296,0.22306713,0.22608817,0.9792662,0.9456791,0.98301864,0.28216797,0.8930258,0.8065449,0.9475752,0.9554319,0.9742179,0.9954227,0.9363696,0.96184164,0.95892197,0.96844417,0.93590254,0.9430417,0.97876537,0.9473506,0.8743789,0.9908634,0.9545256,0.9605796,0.94826293,0.9349386,0.9733454,0.7694797,0.929936,0.81395835,0.6733653,0.34660333,0.9502246,0.95211077
cra_crp__delcra_ac__2,0.6370806,0.9609545,0.9658985,0.96084714,0.9118599,0.972009,0.9531251,0.96505195,0.9539935,0.9717586,0.3482721,0.944322,0.9847983,0.94813335,0.9740796,0.97501355,0.9999324,0.9507286,0.98658276,0.9350122,0.9800709,0.9790415,0.95528114,0.97953236,0.9937047,0.96474993,0.9384957,0.56364745,0.9838464,0.51921475,0.96500427,0.9661548,0.94415313,0.97267866,0.96349406,0.943237,0.9683745,0.9783878,0.9772988,0.9645254,0.9834093,0.98506457,0.94252366,0.23197009,0.0,0.23197009,0.0,0.23197009,0.40396398,0.18540716,0.38776273,0.18538928,0.42865035,0.281625,0.4942343,0.18989414,0.23197009,0.3882953,0.18802424,0.4172739,0.23197009,0.22302592,0.22604638,0.97905743,0.9454308,0.98282707,0.28508863,0.8997105,0.8132376,0.9473783,0.9552354,0.97398025,0.9950818,0.93622833,0.96160626,0.9587348,0.9683149,0.93571365,0.94281775,0.978505,0.9471875,0.87234145,0.9906703,0.95418423,0.9603087,0.9479346,0.9348652,0.97324103,0.7630183,0.9298695,0.8092812,0.67521805,0.34886026,0.9500867,0.9519566
cra_crp__delcra_fru__1,0.63245165,0.95070684,0.9672291,0.95892537,0.91027856,0.9590959,0.9483295,0.96349955,0.9498146,0.9623278,0.7314226,0.94504017,0.9880797,0.94559926,0.9679409,0.9739784,0.9953108,0.9486765,0.9873461,0.93674034,0.9775275,0.9782829,0.95221967,0.9783801,0.99445426,0.9627758,0.9629444,0.6869753,0.97800934,0.6409676,0.9581937,0.9686884,0.9436086,0.9735997,0.95791614,0.9436562,0.7058174,0.9690473,0.97938734,0.9691206,0.9841717,0.98602957,0.94433826,0.23145632,0.0,0.23145632,0.0,0.23145632,0.40431646,0.17403391,0.2820343,0.17401408,0.4367007,0.3274829,0.41750768,0.39291564,0.23145632,0.2825855,0.39066324,0.61878455,0.23145632,0.22253197,0.22554575,0.97879845,0.94825816,0.9824447,0.28522456,0.60631704,0.8629107,0.94199663,0.9541707,0.9769188,0.9999326,0.93683356,0.96437794,0.9575592,0.97312975,0.9391256,0.9424249,0.8361634,0.9521087,0.9659383,0.9860335,0.93198967,0.9551799,0.9363894,0.9279072,0.9705264,0.8795499,0.9319758,0.92629325,0.92627144,0.7322197,0.9540914,0.9533677
cra_crp__delcra_fru__2,0.632488,0.9506036,0.96753496,0.95877784,0.9102419,0.9590653,0.9483454,0.9635083,0.9498621,0.9622553,0.7255214,0.9451257,0.98813415,0.9456075,0.9679275,0.97394276,0.9953885,0.94862497,0.9873372,0.93685824,0.9773746,0.97839963,0.9523106,0.9782886,0.99443287,0.9628501,0.9626181,0.6828103,0.9779555,0.64092,0.95810574,0.968669,0.9435713,0.97364336,0.95785,0.9435912,0.70157754,0.96904373,0.9795138,0.9689922,0.98415905,0.9861377,0.94447935,0.23143843,0.0,0.23143843,0.0,0.23143843,0.3988033,0.1820341,0.2724445,0.19319215,0.4376265,0.32770938,0.40386486,0.39057553,0.23143843,0.27299565,0.38832924,0.61644286,0.23143843,0.22251476,0.22552831,0.9788576,0.94828,0.98231524,0.28191137,0.6006436,0.87578636,0.9418663,0.9540831,0.9768353,0.9999326,0.937001,0.9643846,0.95753276,0.9729237,0.93900144,0.9423956,0.83768284,0.9517852,0.9657209,0.98592156,0.9318522,0.9550704,0.9363408,0.92787707,0.97069126,0.87277675,0.93188393,0.9261621,0.92875934,0.7263144,0.9539245,0.9533396
cra_crp__delcra_glc__1,0.63000846,0.9517851,0.9672473,0.9575394,0.9100613,0.96059775,0.94826126,0.9600372,0.95046985,0.96370363,0.6636347,0.9429012,0.9897354,0.947148,0.96908945,0.9739226,0.9956363,0.94873464,0.9873684,0.9370241,0.9786132,0.9786548,0.95133746,0.9792015,0.99509156,0.9633491,0.96087503,0.67203134,0.9790668,0.6271759,0.9589616,0.96862,0.9432716,0.9730154,0.9585793,0.9434043,0.8368704,0.9699313,0.9793699,0.9693747,0.98348004,0.9857501,0.94347364,0.23122984,0.0,0.23122984,0.0,0.23122984,0.3708175,0.22213396,0.29713732,0.22211614,0.43069145,0.34038436,0.41191736,0.3651623,0.23122984,0.29768997,0.3629735,0.5909806,0.23122984,0.22231422,0.22532505,0.9787261,0.9475462,0.9816656,0.2665457,0.6638308,0.9308361,0.94231087,0.9538887,0.9766898,0.99993265,0.93641603,0.9634342,0.95678073,0.97201115,0.93775505,0.9437925,0.8503201,0.9514107,0.96404237,0.98589265,0.9318938,0.95440376,0.93613476,0.9276331,0.9708227,0.8913763,0.93143624,0.9258028,0.9678594,0.66439533,0.95209014,0.9525061
cra_crp__delcra_glc__2,0.62709975,0.95170325,0.9669796,0.95727557,0.91013247,0.9610472,0.94878453,0.9597154,0.9507475,0.9640906,0.6845663,0.94292134,0.9903909,0.9473083,0.9693542,0.9742775,0.9959197,0.9488676,0.9879431,0.9368147,0.9787041,0.97908205,0.95105225,0.97952926,0.99550414,0.9635464,0.96089286,0.6891195,0.97940457,0.65078014,0.95915544,0.9690178,0.94335073,0.9733573,0.9586172,0.94332105,0.86194855,0.96954817,0.9789178,0.9698074,0.98277843,0.985149,0.94287187,0.23099603,0.0,0.23099603,0.0,0.23099603,0.38862383,0.22996706,0.3058721,0.22994727,0.44299355,0.3470887,0.43029156,0.37382433,0.23099603,0.30642816,0.37161797,0.5993608,0.23099603,0.22208942,0.22509721,0.97788686,0.94747454,0.9816327,0.27595058,0.6828764,0.9580493,0.9424563,0.9537256,0.9767926,0.9999327,0.9362171,0.96364737,0.956961,0.97253215,0.9376221,0.9439701,0.86490685,0.9513906,0.96364737,0.9859861,0.9315135,0.95425195,0.9358966,0.92718583,0.97060484,0.9174145,0.9310208,0.9252605,0.9726707,0.68533605,0.95147175,0.95173097
