,R_PFK,R_PFL,R_PGI,R_PGK,R_PGL,R_ACALD,R_AKGt2r,R_PGM,R_PIt2r,R_ALCD2x,R_ACALDt,R_ACKr,R_PPC,R_ACONTa,R_ACONTb,R_ATPM,R_PPCK,R_ACt2r,R_PPS,R_ADK1,R_AKGDH,R_ATPS4r,R_PTAr,R_PYK,R_BIOMASS_Ecoli_core_w_GAM,R_PYRt2,R_CO2t,R_RPE,R_CS,R_RPI,R_SUCCt2_2,R_CYTBD,R_D_LACt2,R_ENO,R_SUCCt3,R_ETOHt2r,R_SUCDi,R_SUCOAS,R_TALA,R_THD2,R_TKT1,R_TKT2,R_TPI,R_EX_ac_e,R_EX_acald_e,R_EX_akg_e,R_EX_co2_e,R_EX_etoh_e,R_EX_for_e,R_EX_fru_e,R_EX_fum_e,R_EX_glc__D_e,R_EX_gln__L_e,R_EX_glu__L_e,R_EX_h_e,R_EX_h2o_e,R_EX_lac__D_e,R_EX_mal__L_e,R_EX_nh4_e,R_EX_o2_e,R_EX_pi_e,R_EX_pyr_e,R_EX_succ_e,R_FBA,R_FBP,R_FORt2,R_FORt,R_FRD7,R_FRUpts2,R_FUM,R_FUMt2_2,R_G6PDH2r,R_GAPD,R_GLCpts,R_GLNS,R_GLNabc,R_GLUDy,R_GLUN,R_GLUSy,R_GLUt2r,R_GND,R_H2Ot,R_ICDHyr,R_ICL,R_LDH_D,R_MALS,R_MALt2_2,R_MDH,R_ME1,R_ME2,R_NADH16,R_NADTRHD,R_NH4t,R_O2t,R_PDH
nac_ntrc__bw_delnac_cytd__2,0.42746574,0.9460832,0.96026677,0.95262086,0.9057762,0.9579544,0.9505572,0.9523761,0.94999325,0.9617196,0.7017628,0.9406889,0.74663377,0.9462261,0.9697649,0.9732364,0.99250096,0.94888896,0.98959726,0.93357754,0.976424,0.9771367,0.9497661,0.978942,0.99457836,0.9628141,0.95503503,0.7736597,0.9804809,0.72662514,0.9589588,0.9682729,0.9427272,0.9700253,0.9587082,0.9428877,0.9098762,0.9687409,0.9699901,0.9712667,0.97277236,0.9747656,0.93260837,0.22856455,0.0,0.22856455,0.0,0.22856455,0.4013385,0.20003681,0.25418666,0.20001528,0.50887454,0.32407862,0.4060298,0.37980855,0.22856455,0.25478774,0.54895043,0.60293776,0.22856455,0.21975169,0.22272782,0.96543974,0.94608706,0.98094887,0.28297675,0.77394164,0.9505043,0.93890715,0.9529968,0.9780119,0.9999334,0.92842025,0.9745619,0.9552622,0.9764299,0.935561,0.94274676,0.9570987,0.9465942,0.9590685,0.9846612,0.93289816,0.95006764,0.93422955,0.9193176,0.96448034,0.9552426,0.92398345,0.91782564,0.96536726,0.94562894,0.94184417,0.94311094
nac_ntrc__bw_delnac_gln__1,0.45982465,0.94963944,0.96302986,0.9549658,0.90848994,0.9586109,0.9514502,0.9550973,0.95160145,0.96244067,0.5891906,0.9448276,0.81614125,0.9482273,0.97176963,0.97481185,0.9952471,0.95043874,0.9922167,0.936956,0.9762495,0.97785604,0.9525481,0.9804426,0.9957617,0.9643163,0.95603615,0.80792785,0.98101807,0.7661047,0.9603942,0.9695739,0.9443268,0.9718973,0.96014285,0.94426006,0.8917312,0.9714181,0.9723706,0.97171265,0.9759353,0.9778659,0.93512356,0.22926618,0.0,0.22926618,0.0,0.22926618,0.4223439,0.19880472,0.2247981,0.19878311,0.53007454,0.3180149,0.4047564,0.33164692,0.22926618,0.22539319,0.5625687,0.5557557,0.22926618,0.22042626,0.22341153,0.9675392,0.9483648,0.9829094,0.29664865,0.7839338,0.9537579,0.94085646,0.9545671,0.97863376,0.99993324,0.93165517,0.97858465,0.9575582,0.97615916,0.9393167,0.9445173,0.9661133,0.94908166,0.96106,0.9864701,0.93695796,0.9532139,0.9382424,0.9220041,0.96656114,0.9576623,0.9261796,0.919777,0.96720535,0.9492368,0.9429088,0.9460689
nac_ntrc__bw_delnac_gln__2,0.49934852,0.9492936,0.9630953,0.9545191,0.9087218,0.95854384,0.9513296,0.95510083,0.95169115,0.96237403,0.57652634,0.94513327,0.8603658,0.9480496,0.971585,0.9748256,0.99501425,0.95057887,0.99196815,0.9372685,0.97580236,0.9780387,0.9525873,0.98020047,0.99545646,0.9641997,0.9558692,0.806181,0.9808156,0.76079637,0.9606093,0.96958834,0.9444277,0.97157913,0.96039706,0.94445723,0.8987818,0.97165966,0.9725696,0.9713531,0.97604406,0.9778442,0.9351225,0.22940901,0.0,0.22940901,0.0,0.22940901,0.40466267,0.18124756,0.2249401,0.18122594,0.52499455,0.30710366,0.39327034,0.32578495,0.22940901,0.2255336,0.54378396,0.55006474,0.22940901,0.22056359,0.2235507,0.9676782,0.94844073,0.9830245,0.2851542,0.78193617,0.9372429,0.94106525,0.9549062,0.9785772,0.9999332,0.9315654,0.97862244,0.95773023,0.975763,0.9391747,0.94464,0.9607527,0.94884163,0.9612401,0.98616886,0.937351,0.9533852,0.9383474,0.92260605,0.9667486,0.95780295,0.9260746,0.9198921,0.9670729,0.94870603,0.9432899,0.94625735
nac_ntrc__bw_delnac_nh4__1,0.61777323,0.9511974,0.966907,0.9550893,0.90818125,0.9576431,0.94928694,0.9569464,0.9514421,0.9614027,0.7766127,0.9438695,0.99334705,0.94948035,0.97210544,0.9759618,0.9973712,0.94972706,0.9921432,0.9358232,0.9798202,0.9796327,0.951075,0.9795893,0.9965975,0.9636684,0.9618014,0.7638318,0.98049116,0.7192448,0.96044755,0.9703194,0.9432458,0.9733646,0.9592318,0.94309187,0.9458825,0.9706687,0.9783064,0.9707654,0.98082274,0.9830963,0.93955916,0.2303856,0.0,0.2303856,0.0,0.2303856,0.3842832,0.21751195,0.34628198,0.21749024,0.44431156,0.38578117,0.4867474,0.4097759,0.2303856,0.34684643,0.40750432,0.63449144,0.2303856,0.22150253,0.22450237,0.973258,0.9481896,0.9812037,0.27338985,0.7468216,0.9574023,0.94376487,0.9537196,0.97705126,0.9999329,0.9348226,0.9646453,0.9574339,0.97433364,0.9383178,0.94465494,0.96353024,0.9516967,0.96502423,0.9871145,0.9341634,0.95481294,0.9375481,0.92672104,0.9702523,0.96097445,0.9296242,0.923437,0.97095287,0.7774337,0.9504494,0.9494843
nac_ntrc__bw_delnac_nh4__2,0.61814624,0.95103216,0.96667314,0.955272,0.90823853,0.95768213,0.94921815,0.95689255,0.95152164,0.9614285,0.7739184,0.94390845,0.9932375,0.9494629,0.9720203,0.9758832,0.9972741,0.9497491,0.9920532,0.93594974,0.980056,0.9797678,0.95127296,0.97937894,0.99658126,0.9637577,0.9618154,0.76659733,0.98052573,0.71896577,0.9604357,0.97019255,0.9431228,0.9731395,0.95915264,0.9430972,0.9330896,0.9705952,0.97826964,0.9709071,0.98094815,0.983151,0.93948495,0.23042016,0.0,0.23042016,0.0,0.23042016,0.39462277,0.22077581,0.35239765,0.22075607,0.44422424,0.3845027,0.49504754,0.40877938,0.23042016,0.35296023,0.40650943,0.63353455,0.23042016,0.22153576,0.22453605,0.9732461,0.9479707,0.98125017,0.2792597,0.7429148,0.95754,0.9435512,0.953689,0.9768603,0.9999329,0.9348977,0.9644821,0.9573209,0.97417974,0.9382849,0.9446861,0.9557852,0.9518375,0.96497166,0.9871007,0.9340114,0.9547233,0.9374302,0.9266864,0.9702774,0.96115613,0.9299393,0.92377293,0.9713729,0.7747376,0.9505485,0.9497432
misc__wt_no_te__1,0.61451894,0.9536398,0.9694362,0.9573766,0.9109216,0.9594978,0.9528873,0.9662307,0.9514297,0.9625275,0.70449007,0.9419357,0.9915073,0.94785887,0.9727345,0.9755746,0.99744827,0.9501993,0.99162585,0.9331448,0.98052806,0.9793924,0.95188797,0.98089147,0.9972527,0.96446306,0.96205944,0.81242025,0.981719,0.7494124,0.96064526,0.9692308,0.94402134,0.9758709,0.9601456,0.9436599,0.88193387,0.97144085,0.979266,0.9712631,0.9831865,0.9852089,0.94110423,0.23055668,0.0,0.23055668,0.0,0.23055668,0.4505232,0.24188553,0.30130473,0.24186578,0.43676898,0.3368397,0.45149097,0.38175416,0.23055668,0.30186564,0.37955987,0.60683405,0.23055668,0.22166702,0.22466908,0.9744113,0.9474322,0.98264927,0.31689373,0.760763,0.95912254,0.94306344,0.9539064,0.97885716,0.9999328,0.9361508,0.96295214,0.9583858,0.9748715,0.9387381,0.9464941,0.97195244,0.952599,0.9672617,0.991533,0.9406974,0.9575761,0.9416612,0.92768973,0.9716897,0.9369803,0.92995507,0.92355394,0.97089183,0.70527023,0.9499998,0.949909
misc__wt_no_te__2,0.61727774,0.9520714,0.9674049,0.9562689,0.9090902,0.95867646,0.9515623,0.96197206,0.9512406,0.96191484,0.77844346,0.94256145,0.9918695,0.9479509,0.9722931,0.97544664,0.99760425,0.94971514,0.991384,0.9342435,0.9810788,0.97886854,0.95197666,0.9800921,0.996884,0.9638567,0.96269435,0.77580893,0.98172015,0.7201505,0.96021575,0.9687271,0.94354624,0.97398233,0.9596691,0.94329756,0.89054,0.9713498,0.9779884,0.97139126,0.9810847,0.9833305,0.94017166,0.23036787,0.0,0.23036787,0.0,0.23036787,0.4115994,0.21661308,0.3153199,0.21659137,0.4375243,0.34276828,0.44608107,0.4104469,0.23036787,0.31588233,0.40818143,0.63514906,0.23036787,0.22148548,0.22448508,0.973641,0.94760555,0.98169255,0.28962588,0.7402261,0.95749044,0.94288313,0.9536383,0.97815615,0.9999329,0.93494403,0.9642139,0.95781803,0.97521967,0.9382239,0.94540125,0.9706374,0.9522806,0.96673,0.9906282,0.93799496,0.95656884,0.94019926,0.9274075,0.9717524,0.9606736,0.92972434,0.92331856,0.9708091,0.77926445,0.9504078,0.94937766
misc__bw_delcbl__1,0.6185995,0.95221114,0.96665084,0.9550896,0.9080372,0.9573048,0.9493801,0.9558201,0.9514965,0.9610716,0.73169667,0.94353235,0.99386007,0.9507936,0.97370094,0.9754699,0.99763876,0.9498539,0.9916074,0.93607163,0.9817796,0.9794598,0.95191896,0.9792743,0.9962292,0.96391654,0.961046,0.73736477,0.98145187,0.67801666,0.9606215,0.968404,0.94312567,0.9722341,0.9598811,0.9432184,0.95768183,0.9720702,0.977916,0.96964777,0.9809247,0.9831399,0.9390054,0.23046474,0.0,0.23046474,0.0,0.23046474,0.3613263,0.23684356,0.33890864,0.2368258,0.42689726,0.33676657,0.459814,0.3925551,0.23046474,0.33947328,0.39032614,0.6174662,0.23046474,0.22157861,0.22457948,0.97347,0.9481284,0.98148936,0.26162836,0.767867,0.9578082,0.94408315,0.9541913,0.9773099,0.9999329,0.9348515,0.96485233,0.9574706,0.9745854,0.9377478,0.94507027,0.93888694,0.9507167,0.9652965,0.9879551,0.93625915,0.95470464,0.9384585,0.9271164,0.96987283,0.93802416,0.9287195,0.9229645,0.95322394,0.7324923,0.95005727,0.94936234
misc__bw_delcbl__2,0.61880386,0.95209706,0.96640635,0.9547899,0.9081564,0.9571965,0.94945747,0.9558422,0.9514732,0.960989,0.7258215,0.94341826,0.99358374,0.9505354,0.9735057,0.97559047,0.99738806,0.9499846,0.99154234,0.9358846,0.9812171,0.9793751,0.95178115,0.979231,0.9962055,0.9639642,0.9608686,0.7364883,0.9815764,0.68277514,0.9608271,0.96855825,0.9434262,0.97205263,0.95994264,0.943365,0.9575874,0.9718039,0.9775687,0.9696224,0.98058534,0.9827905,0.9388104,0.23046292,0.0,0.23046292,0.0,0.23046292,0.37792483,0.22808002,0.34719184,0.22806028,0.427956,0.34700626,0.47722122,0.39024213,0.23046292,0.34775844,0.38801715,0.6151653,0.23046292,0.22157687,0.22457771,0.9733754,0.94815844,0.9818133,0.26997733,0.7702024,0.95739985,0.94437975,0.95440495,0.9773871,0.9999329,0.9345855,0.9649336,0.9576308,0.97478896,0.93770283,0.94489896,0.94984245,0.9505571,0.96514285,0.9878328,0.9361807,0.9547346,0.9384373,0.9272947,0.9698277,0.93253624,0.9285365,0.92274404,0.94262856,0.72661513,0.94995695,0.9492107
misc__bw_delfabr__1,0.618904,0.95161086,0.9661185,0.95469046,0.9073634,0.9568462,0.94887084,0.95533997,0.9512397,0.960668,0.73567003,0.9438467,0.9936809,0.95084095,0.97327465,0.97556263,0.9973745,0.94966835,0.9915706,0.93600756,0.9811434,0.97920877,0.95160097,0.97909623,0.996113,0.9638562,0.96088916,0.7352969,0.98136055,0.6762832,0.9605239,0.9684697,0.9433157,0.9723034,0.9595112,0.9431637,0.95734364,0.9711979,0.97716755,0.9695436,0.9807032,0.9827582,0.9384278,0.23044655,0.0,0.23044655,0.0,0.23044655,0.36649558,0.22600482,0.35687974,0.22598508,0.43810803,0.35389885,0.48481128,0.39411125,0.23044655,0.3574463,0.39187065,0.6189869,0.23044655,0.22156112,0.22456175,0.9730022,0.9482529,0.9814612,0.26412863,0.7556834,0.9575549,0.9447015,0.954266,0.9768932,0.9999329,0.9348014,0.9647347,0.9575213,0.9752152,0.9370993,0.94378555,0.9263049,0.95024085,0.96402204,0.9872355,0.9336742,0.95402914,0.93714267,0.9270846,0.9697094,0.95134634,0.9290015,0.92309105,0.96356994,0.73646754,0.9500474,0.94960123
