,R_PFK,R_PFL,R_PGI,R_PGK,R_PGL,R_ACALD,R_AKGt2r,R_PGM,R_PIt2r,R_ALCD2x,R_ACALDt,R_ACKr,R_PPC,R_ACONTa,R_ACONTb,R_ATPM,R_PPCK,R_ACt2r,R_PPS,R_ADK1,R_AKGDH,R_ATPS4r,R_PTAr,R_PYK,R_BIOMASS_Ecoli_core_w_GAM,R_PYRt2,R_CO2t,R_RPE,R_CS,R_RPI,R_SUCCt2_2,R_CYTBD,R_D_LACt2,R_ENO,R_SUCCt3,R_ETOHt2r,R_SUCDi,R_SUCOAS,R_TALA,R_THD2,R_TKT1,R_TKT2,R_TPI,R_EX_ac_e,R_EX_acald_e,R_EX_akg_e,R_EX_co2_e,R_EX_etoh_e,R_EX_for_e,R_EX_fru_e,R_EX_fum_e,R_EX_glc__D_e,R_EX_gln__L_e,R_EX_glu__L_e,R_EX_h_e,R_EX_h2o_e,R_EX_lac__D_e,R_EX_mal__L_e,R_EX_nh4_e,R_EX_o2_e,R_EX_pi_e,R_EX_pyr_e,R_EX_succ_e,R_FBA,R_FBP,R_FORt2,R_FORt,R_FRD7,R_FRUpts2,R_FUM,R_FUMt2_2,R_G6PDH2r,R_GAPD,R_GLCpts,R_GLNS,R_GLNabc,R_GLUDy,R_GLUN,R_GLUSy,R_GLUt2r,R_GND,R_H2Ot,R_ICDHyr,R_ICL,R_LDH_D,R_MALS,R_MALt2_2,R_MDH,R_ME1,R_ME2,R_NADH16,R_NADTRHD,R_NH4t,R_O2t,R_PDH
oxidative__delsoxs_pq__1_4,0.8317168,0.9877519,0.99335927,0.9832678,0.97214806,0.9793625,0.9768897,0.99032146,0.97915685,0.9796234,0.46199,0.9822344,0.98936933,0.97883886,0.98719376,0.9876759,0.9979489,0.9794869,0.9913669,0.97846216,0.988882,0.9886902,0.9827839,0.9876828,0.99484366,0.98502856,0.98784524,0.85522974,0.98715055,0.8112106,0.9838294,0.9857889,0.97803885,0.99001044,0.9838829,0.9781408,0.99097294,0.9907414,0.9918957,0.98417324,0.99597377,0.9968654,0.9783049,0.2576883,0.0,0.2576883,0.0,0.2576883,0.60229516,0.29516175,0.25445348,0.29515487,0.4411382,0.4043093,0.5834219,0.24457105,0.2576883,0.25480255,0.24325086,0.49919215,0.2576883,0.32986525,0.31705382,0.99390364,0.9808088,0.9938172,0.42365947,0.9769934,0.9911181,0.9816486,0.9836013,0.9897668,0.9941766,0.98347163,0.98806125,0.987586,0.98703825,0.9810473,0.9789858,0.9964299,0.98371875,0.9943356,0.99706584,0.98117167,0.9878141,0.9792899,0.9809004,0.9925661,0.9926733,0.98148966,0.9795076,0.9981925,0.4863894,0.99994123,0.9995922
oxidative__delsoxs_pq__2_4,0.8298659,0.9878403,0.9933128,0.9834063,0.97236115,0.97950804,0.9770076,0.9903199,0.97931796,0.97969633,0.43792272,0.9822296,0.9895095,0.9788756,0.9871802,0.9878057,0.99797827,0.9795875,0.9914621,0.97850233,0.98891854,0.9888719,0.9828257,0.9877089,0.99493015,0.9850807,0.9878835,0.91756034,0.9872735,0.78089696,0.9839022,0.9859032,0.97809106,0.9899501,0.98396444,0.9782259,0.99099207,0.99077266,0.991901,0.9842547,0.9960101,0.9968672,0.9782915,0.25768343,0.0,0.25768343,0.0,0.25768343,0.62631804,0.24962416,0.35882318,0.24961725,0.48599482,0.4200607,0.6397305,0.2275027,0.25768343,0.3591774,0.22619809,0.48216045,0.25768343,0.32985896,0.3170478,0.99391925,0.9807953,0.9938882,0.44426608,0.99109924,0.99111307,0.98171633,0.9836413,0.9898136,0.99419403,0.9835203,0.98814094,0.98757935,0.9870523,0.98103553,0.9790397,0.9964456,0.98365515,0.99438065,0.9970469,0.98121005,0.98785067,0.9792488,0.9808489,0.99254036,0.99274254,0.98146755,0.9795201,0.9981943,0.46231472,0.99994123,0.9995576
nac_ntrc__wt_csn__1_4,0.8154453,0.98559606,0.9904014,0.9811302,0.9698586,0.9776791,0.97517735,0.9881908,0.9773069,0.9776894,0.9999414,0.9802015,0.98754126,0.9767056,0.98473287,0.98582864,0.9956616,0.97743785,0.9892987,0.97638685,0.9863404,0.98666257,0.9805478,0.98531693,0.99264985,0.98277384,0.9844038,0.9985441,0.9850757,0.90042335,0.98165566,0.9837904,0.97593373,0.9875568,0.9817211,0.9760216,0.9881736,0.98854923,0.98961055,0.98184866,0.99350274,0.99420744,0.9757304,0.2569362,0.0,0.2569362,0.0,0.2569362,0.6380271,0.21173094,0.3528912,0.21172577,0.5673444,0.3344366,0.6061127,0.4924836,0.2569362,0.35327542,0.55843157,0.7454725,0.2569362,0.32890245,0.31612843,0.99117845,0.9790402,0.9916488,0.45535383,0.9951947,0.9882477,0.9791522,0.98144543,0.98726904,0.99141103,0.9807149,0.9847811,0.9849,0.98402303,0.9789885,0.9760819,0.99351823,0.98064774,0.99118537,0.9944331,0.978432,0.9849482,0.97605604,0.97783583,0.9899879,0.98967606,0.97858536,0.9766229,0.9951602,0.98784107,0.9965541,0.9967315
nac_ntrc__wt_csn__2_4,0.8160445,0.9869706,0.9917756,0.9825435,0.9711307,0.9791223,0.9764291,0.9894671,0.97864264,0.97912055,0.9989769,0.9815032,0.9888443,0.9780008,0.98603034,0.9871794,0.9970032,0.97878927,0.99073005,0.9776506,0.98768836,0.98796093,0.98196554,0.98676187,0.99402016,0.98417735,0.9857008,0.99994135,0.9864841,0.9318856,0.98302835,0.985128,0.9773331,0.9889478,0.98312324,0.9773901,0.9896034,0.98985875,0.9909474,0.9831836,0.9947948,0.9955298,0.9770778,0.25728375,0.0,0.25728375,0.0,0.25728375,0.6613292,0.24045873,0.38977215,0.24045181,0.54954773,0.37597674,0.6716188,0.4900425,0.25728375,0.3901586,0.55997366,0.7433874,0.25728375,0.32934734,0.31655604,0.99259335,0.98030066,0.9930126,0.4776601,0.9965977,0.9896448,0.9804766,0.9827782,0.988601,0.9927814,0.9820777,0.9861787,0.9863029,0.98537475,0.98038346,0.977328,0.9948759,0.98199487,0.99253297,0.99594903,0.9797123,0.98631847,0.9774505,0.9791723,0.9914098,0.9911044,0.9799435,0.97798187,0.9965494,0.98917556,0.9979107,0.99804527
nac_ntrc__wt_cytd__1_4,0.8321325,0.9874773,0.99316144,0.9837115,0.97258866,0.9795828,0.977184,0.991053,0.97933567,0.9799025,0.609107,0.98292,0.98956674,0.97879124,0.9868292,0.987937,0.9982251,0.97971237,0.9917045,0.9793374,0.9886231,0.9888651,0.98324317,0.9878748,0.99492073,0.98517877,0.9875447,0.79815394,0.98743755,0.7506485,0.98400354,0.9861552,0.978373,0.99002296,0.98407096,0.9784473,0.99074364,0.9910478,0.9921902,0.9843302,0.99625665,0.99707586,0.9785424,0.25772128,0.0,0.25772128,0.0,0.25772128,0.5914325,0.22840542,0.29675665,0.22840023,0.5682294,0.34429833,0.56252277,0.330438,0.25772128,0.29711956,0.5394078,0.5848411,0.25772128,0.32990742,0.3170944,0.9942381,0.9814147,0.9941621,0.4149049,0.8779287,0.99113077,0.9815115,0.98393446,0.9898934,0.9941742,0.98354906,0.9872146,0.98715067,0.9868707,0.9814596,0.9786392,0.99611497,0.98347473,0.99401516,0.99723655,0.98133516,0.98753434,0.9794151,0.9807545,0.99291945,0.9925168,0.9814389,0.97942203,0.9129926,0.9909199,0.99994123,0.99985135
nac_ntrc__wt_cytd__2_4,0.83224916,0.9873891,0.993151,0.9836872,0.9725574,0.97958267,0.9771597,0.99105984,0.9793027,0.97991276,0.61679393,0.9828957,0.9895684,0.97874445,0.98677385,0.9879283,0.9981957,0.9797192,0.9916768,0.97930443,0.9886628,0.98887885,0.98328626,0.9878661,0.99490345,0.9851718,0.98749626,0.7892248,0.9874634,0.727024,0.9840104,0.98616725,0.97841954,0.99002117,0.9840882,0.9784766,0.99071765,0.99104255,0.9922299,0.9843353,0.99631196,0.9971069,0.9785371,0.25772262,0.0,0.25772262,0.0,0.25772262,0.5927611,0.21933684,0.31367412,0.23759907,0.5519593,0.36570254,0.5672282,0.33432305,0.25772262,0.31403878,0.52469814,0.58871704,0.25772262,0.32990912,0.31709602,0.99422944,0.98143536,0.99419314,0.4159578,0.86251396,0.99110305,0.98151827,0.98395854,0.98993134,0.99416894,0.98348504,0.9872163,0.9872232,0.9868741,0.981501,0.97866327,0.9961616,0.98347986,0.9940704,0.99714667,0.981425,0.9875343,0.9793321,0.9807043,0.99281746,0.9924908,0.9814716,0.97943574,0.91004896,0.99096483,0.99994123,0.99985653
nac_ntrc__wt_gln__1_4,0.8338809,0.9872301,0.9931493,0.9836924,0.9722308,0.97936666,0.977018,0.9910582,0.97916275,0.979778,0.61365783,0.9828076,0.98932475,0.9787687,0.9867756,0.9877987,0.99805576,0.9795983,0.99151266,0.97931135,0.9885142,0.98878205,0.98317397,0.9877088,0.9947514,0.9850525,0.9874496,0.84226626,0.9874634,0.7803767,0.98386526,0.9860255,0.9782623,0.99005747,0.98391885,0.97835565,0.9906434,0.9910616,0.99219704,0.9842351,0.99623245,0.9970102,0.9784853,0.25772217,0.0,0.25772217,0.0,0.25772217,0.5726072,0.22096965,0.30361873,0.22096619,0.5761415,0.28776568,0.5236655,0.33274457,0.25772217,0.3039782,0.58659035,0.58714163,0.25772217,0.32990855,0.31709546,0.9941862,0.9814146,0.9940912,0.4005603,0.8514691,0.9911307,0.98157537,0.98385316,0.98986393,0.994162,0.98355764,0.9872543,0.9870953,0.98682916,0.9814561,0.97872204,0.99616677,0.98333466,0.9940428,0.9972331,0.9814561,0.9874634,0.9793442,0.98069566,0.9928486,0.99250466,0.981406,0.97940296,0.88100624,0.99078333,0.99994123,0.99985653
nac_ntrc__wt_gln__2_4,0.8320109,0.9874029,0.99324954,0.98371834,0.9724261,0.9795136,0.9772064,0.9910616,0.97932345,0.97987306,0.6153135,0.9828992,0.9894785,0.97884476,0.9868603,0.9879335,0.9981128,0.9796985,0.99166995,0.9793027,0.98860925,0.98893416,0.9832172,0.9878419,0.9948948,0.98518217,0.9875118,0.9056767,0.9875464,0.8195763,0.98397934,0.98607564,0.9783539,0.9901076,0.9840225,0.9784386,0.99071944,0.9910875,0.992299,0.9843474,0.9962912,0.9970724,0.97852504,0.25772217,0.0,0.25772217,0.0,0.25772217,0.6109255,0.2276648,0.32579538,0.22930317,0.59176636,0.39436114,0.59793097,0.33357933,0.25772217,0.32615831,0.60984886,0.5879729,0.25772217,0.32990855,0.31709546,0.9941724,0.98143363,0.9941551,0.4308596,0.8858505,0.99118084,0.98160475,0.9839223,0.9898968,0.9942087,0.98360085,0.98735803,0.9871368,0.98691386,0.9815183,0.97873414,0.99612015,0.9834332,0.9940117,0.9972262,0.98139733,0.98748416,0.9794341,0.9807475,0.9928728,0.9924822,0.981406,0.9794064,0.87769496,0.9907108,0.99994123,0.99984616
nac_ntrc__bw_delnac_csn__1_4,0.8117331,0.9857054,0.9906023,0.98127013,0.9696101,0.9778636,0.97525835,0.98817277,0.9775001,0.9778154,0.9999414,0.98022944,0.94669485,0.97663337,0.98457843,0.9859983,0.99582326,0.9775586,0.98954266,0.97646964,0.9865497,0.98695976,0.98044133,0.9854693,0.99284923,0.9829484,0.98443544,0.99887484,0.9854176,0.9940554,0.9817733,0.9839237,0.9760785,0.9873629,0.9817923,0.9761853,0.9882073,0.98847264,0.9896133,0.98202485,0.9935798,0.99423116,0.97576666,0.2569539,0.0,0.2569539,0.0,0.2569539,0.6752034,0.20807537,0.282421,0.24506812,0.56736976,0.2539799,0.5909552,0.51889443,0.2569539,0.2828087,0.5927576,0.7717629,0.2569539,0.32892513,0.31615022,0.99105376,0.97903705,0.99178267,0.49209023,0.99507374,0.9884106,0.97912663,0.9816372,0.9873354,0.9916982,0.9808032,0.9849575,0.9851126,0.98419076,0.9792473,0.9754841,0.993423,0.9807463,0.99092454,0.9944569,0.9784219,0.9849265,0.9765007,0.97794807,0.9900837,0.98991656,0.9787407,0.9767867,0.99538213,0.9878058,0.99655557,0.99670374
nac_ntrc__bw_delnac_csn__2_4,0.81095576,0.9857052,0.99059016,0.9814457,0.96946156,0.97803915,0.9754114,0.98806584,0.9775705,0.97799265,0.9999414,0.98031366,0.9364057,0.97660553,0.98450935,0.9860808,0.99588525,0.9776359,0.9896046,0.9764522,0.9866253,0.98697513,0.9804446,0.9855605,0.99290085,0.9830258,0.984437,0.99866635,0.98546916,0.8975258,0.98185235,0.9839563,0.97609377,0.9874421,0.98185754,0.9762299,0.9882192,0.9885724,0.98963386,0.98202467,0.9936504,0.9943793,0.9758267,0.25695658,0.0,0.25695658,0.0,0.25695658,0.6257265,0.22247227,0.253693,0.22246537,0.5759394,0.3792188,0.5921951,0.5231127,0.25695658,0.25408244,0.602575,0.77596146,0.25695658,0.32892853,0.3161535,0.9912139,0.9790041,0.9918601,0.44409677,0.99509436,0.9884587,0.97915745,0.98168695,0.98743004,0.99167573,0.9809236,0.9850039,0.9851331,0.9842302,0.9793091,0.9754597,0.9933885,0.9807961,0.9908934,0.9946257,0.9783648,0.98496425,0.9766038,0.9780099,0.99019045,0.9899423,0.97882146,0.9768571,0.99539936,0.987785,0.99655384,0.9966882
